"0","tamaramorrison@hotmail.com","pbkdf2:sha256:260000$twqQEITiHAhqSyQ9$9420617cb522e127e3745efb9cad7be6732c6ed3fe34e1411b84c00108379dac","Gary Cross","227.11","gorilla"
"1","stephenschristine@yahoo.com","pbkdf2:sha256:260000$R8lDMLfbYx8YkC7Y$e9560df88401bde608640e5a730fcf7680e536c62917f1e702cd16a779651da9","Chelsea Greer","113.09","frog"
"2","jacqueline78@yahoo.com","pbkdf2:sha256:260000$VHXhdpr2gqKHRFXp$eb79c1d814bd022defa16964541c9f03838510a825daef306ad0f1cc58bc449f","Jasmine Perry","309.96","tiger"
"3","williamsfrank@hotmail.com","pbkdf2:sha256:260000$2yHTgNFmWmLgShbo$f7916ede00bb00f841d8393662d7c367e283aaba58bfeb5964867fdb749fcc4a","Melanie Grant","184.50","gorilla"
"4","jward@gmail.com","pbkdf2:sha256:260000$RD5Ut2hY4m2KnSAD$39b83f84b32f520aac915bdc9ec953ef42d04c417ee700cd053a9d293844b28e","Isabella Hinton","249.18","gorilla"
"5","ycruz@gmail.com","pbkdf2:sha256:260000$yjH1MFjZQt5Ww2Mu$13ce8b8c25f110280f75f25e9165b97af2a8ed0a8d7a02b32d03efcd443327ed","Meghan Trujillo","328.16","monkey"
"6","glivingston@yahoo.com","pbkdf2:sha256:260000$Mr0pF1K6S9ZzvSw2$5c2ee185cd56de711b5da9492a94f0b40335ee56325f980a33419f2013b3f3bb","Jenna Watson","50.53","monkey"
"7","jyang@hotmail.com","pbkdf2:sha256:260000$WcILKRxUrin8bwjD$413891e456d22014fa30b766fae20b69c8ad3900f0ab4f082ed8bb5d7bcbe186","Willie Garcia","152.81","frog"
"8","bramirez@gmail.com","pbkdf2:sha256:260000$DCGB39XNbPS8lYQA$4794b4602dfd73b1aea96cda8a336f32ce7142fa7efb5f6f62f15ea607294e99","Michael Montgomery","452.85","tiger"
"9","kellypeter@gmail.com","pbkdf2:sha256:260000$lJoMXNFr1ORwxT5X$33b55c7305a5ec25981a4df2f11dfd002b353a30c1d8ae319075268fab4c7a39","Melissa James","269.08","tiger"
"10","fcarpenter@yahoo.com","pbkdf2:sha256:260000$fbbCl0fgDd9iDrlV$61267a1678636223333445b93fe479af5da01ffc8c20b74c892d833fb6c04ff4","Amanda Schultz","243.27","frog"
"11","allenmargaret@gmail.com","pbkdf2:sha256:260000$xSd9WHMaa50QjE0O$dc2f3ae674f1e69d2b0db33eaae97ba20391b692585205c8c8e85831f9bc8146","Danielle Daniel","452.27","elephant"
"12","jeffrey31@hotmail.com","pbkdf2:sha256:260000$qljzWD2r7qBq3X4x$835c265e8883b99d999ee66bc765da3754becacfa608ec9588d17a237e3a28a6","Alan Mendez","345.41","monkey"
"13","michaelhenry@gmail.com","pbkdf2:sha256:260000$UGK11vETzn1edaTz$2c4d1984580bb32c7e9d1ea13d7bc6cdaae5ba65199bdd0f6d035d3910e484f4","Michael Miller","123.05","tiger"
"14","matthew60@hotmail.com","pbkdf2:sha256:260000$QOiKsahu5YyX3BUI$ecdbae013c215ab6389593ee647a8d7f0c5c20ff08537aded14bce463a67f032","Cynthia Clayton","254.11","frog"
"15","stephanie28@gmail.com","pbkdf2:sha256:260000$O4JZMZEitJ7X5FFg$1c7b2b8ea508893a0739d5fe1fd3ab4e5c81192917ec2d6de6f8b379b49b3319","Amber Moore","337.81","monkey"
"16","kgomez@gmail.com","pbkdf2:sha256:260000$AahiI40qRLjvBJrV$1a01d2254ebf1bedba458681f52779d73879f10381d700a211f4bae56fcc55d4","Carmen Mclean","363.35","frog"
"17","thomaspeters@hotmail.com","pbkdf2:sha256:260000$wBG2ttDqs5AJbSDq$5ff40af37b88ccabfa2b8ad89793e8b0f3690806e036e4cf9a21781697d2f80f","Robin Harris","420.66","frog"
"18","susan06@yahoo.com","pbkdf2:sha256:260000$Drz3KC14t6tx4Yhl$0ce8c299d931982f22a6722ddbfc2c1c9e118a41c02fb8129535d002ddd8b0b2","Jared Vaughn","483.70","monkey"
"19","william86@gmail.com","pbkdf2:sha256:260000$5IFDlpCqSUT85RTC$a933872b4146a83178000ef7da7c6ea6268d5f9720f99552c319cd6534215ba6","Lauren Mcdaniel","208.72","frog"
"20","michaelanderson@hotmail.com","pbkdf2:sha256:260000$WPPe8KD2UjAcUVIK$4c6a65e7349f6324e06ccdee04594be2a85a93786a3ada5eb3dc4c249ef6848f","Gilbert Jenkins","84.03","elephant"
"21","deleonwilliam@gmail.com","pbkdf2:sha256:260000$pbI2uZK67L0hRMXg$aaf3fe43bc43317cd226390cee4b85680b371c645fd1d675b6d4803d45bb05f0","Maria Harris","423.82","monkey"
"22","joshua07@yahoo.com","pbkdf2:sha256:260000$WSi3xfexAz6vAGJm$84738ec8018765eb0db0731ee6267d17b3440a388ec37f17bc7a2ef3e4a6be24","Heather Davis","474.43","tiger"
"23","underwoodcatherine@gmail.com","pbkdf2:sha256:260000$OcyRl4icbGiuN96b$1120806f9cc8301588d4af85e11ef24df3f4eaea8653032c4832436a520b30e7","Joseph Smith","379.59","monkey"
"24","thomas23@yahoo.com","pbkdf2:sha256:260000$ebci22jaec6afZ5n$3b5aa70a1a3b6751715e8a7b6633aa2cad65c5873fb83b347df592cdacf671e5","Steven Harrison","184.83","elephant"
"25","qmyers@yahoo.com","pbkdf2:sha256:260000$CDpN75Ar6euJeden$1bfda04b49b72a963215f033028f8564db073a0283e0b851dfcbb45d2ea1d8ea","Ryan Peters","239.08","monkey"
"26","ygraham@hotmail.com","pbkdf2:sha256:260000$qf3HV0CYDfTzskgp$68465c34176d66591dfae3a5fec38ab0a9f28b3c972a318b427fa7ebfb7e9d6f","Pamela Allen","59.55","gorilla"
"27","milleralexis@gmail.com","pbkdf2:sha256:260000$PjOnNPTUqPi5Rq6G$f47d568a3cca5f0ff6c34b56373457fe16f5d2540183c8c7f853cd10bb4792b7","Russell Robinson","364.35","monkey"
"28","amy23@hotmail.com","pbkdf2:sha256:260000$scC4HcQzzPuiZ1nU$e2e0eb63ff23d7be20e992a088caed5b3510af0e11ee6f11bb194c2ac2ad47b0","Toni Smith","473.90","monkey"
"29","alexander25@hotmail.com","pbkdf2:sha256:260000$JgcAPwqCq3gWyFku$057cdea20738e0c19d870204e303689b9d75b8ba234a5190a37fb169705c2966","Donald Gutierrez","187.38","gorilla"
"30","tatealexis@hotmail.com","pbkdf2:sha256:260000$fq06siA4AXxgtwD6$f0a37cc7af72dd6939bfaea7f9a1b088939a63770660a3977abce1d8fac95013","Veronica Harding","180.94","monkey"
"31","vschneider@gmail.com","pbkdf2:sha256:260000$WykyXDhwsFisbuBM$a336b013fe1c8d9cd8905ca979539f527094fea2cac64c49955d8ee1208ed0bf","Brian Kelly","107.52","tiger"
"32","harnold@gmail.com","pbkdf2:sha256:260000$YjpPaiLEly8kkPTg$5382e4a3fa67df388d77b895324ef3564dbdc7bc57a8ada48dfe84df0013fc32","Ashley Cook","73.82","elephant"
